item,Title,version,header,avoid,continuation,name_gender,notes,locus_of_uncertainty,locus_of_uncertainty_location
Emergency Damage,Emergency Damage I,unambiguous_uncovered,"Joanne's home insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""</b>",FALSE,"Late one night, Joanne hears noises coming from another room in her home and believes it may be her two dogs playing together. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs,  and Joanne just wants help putting them to bed. Joanne files a claim with her insurance company for the damage caused by the forced entry. However, the insurance company denies Joanne's claim, arguing that the damage is not covered.",female,dogs playing not emergency,perceived emergency,definition
Emergency Damage,Emergency Damage I,unambiguous_covered,"Joanne's home insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""</b>",FALSE,"Late one night, Joanne hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry. However, the insurance company denies Joanne's claim, arguing that the damage is not covered.",female,burglar def emergency,perceived emergency,definition
Emergency Damage,Emergency Damage I,controversial,"Joanne's home insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""</b>",FALSE,"Late one night, Joanne hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry. However, the insurance company denies Joanne's claim, arguing that the damage is not covered.",female,"perceived emergency, but is perception justified?",perceived emergency,definition
Escape of Oil,Escape of Oil II,unambiguous_uncovered,"Mariam has insurance that covers home damage from ""Escape of Oil"", defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>",FALSE,"Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage. However, the insurance company denies Mariam's claim, arguing that the damage is not covered.",female,not a fixed heating installation,heating installation,definition
Escape of Oil,Escape of Oil II,unambiguous_covered,"Mariam has insurance that covers home damage from ""Escape of Oil"", defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>",FALSE,"Mariam has a fixed oil-fired heater in her living room. One night, the heater cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage. However, the insurance company denies Mariam's claim, arguing that the damage is not covered.",female,yes fixed heating installation damaged,heating installation,definition
Escape of Oil,Escape of Oil II,controversial,"Mariam has insurance that covers home damage from ""Escape of Oil"", defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>",FALSE,"Mariam has a wall-mounted oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage. However, the insurance company denies Mariam's claim, arguing that the damage is not covered.",female,atypical fixed heating installation,heating installation,definition
Personal Accident,Personal Accident I,unambiguous_uncovered,"Gwen's car insurance policy includes coverage for ""Personal Accident,"" defined as <b>""you or any other person in your car who is accidentally injured while traveling in your car, whilst in the United States and this injury alone results within three calendar months in loss of, or permanent and total loss of use of, one or more limbs at or above the elbow or knee.""</b>",FALSE,"Gwen travels in her SUV to the grocery store. She has a relatively quick drive to the store with no incident. When Gwen is at the store, she gets her items and begins to check out. However, once she returns to her car and is placing her groceries in the trunk, she injures her wrist, causing her hand to become unusable. Gwen files a claim with her insurance company for the damages. However, the insurance company denies Gwen's claim, arguing that the damages are not covered.",female,not during allowed window,traveling in,definition
Personal Accident,Personal Accident I,unambiguous_covered,"Gwen's car insurance policy includes coverage for ""Personal Accident,"" defined as <b>""you or any other person in your car who is accidentally injured while traveling in your car, whilst in the United States and this injury alone results within three calendar months in loss of, or permanent and total loss of use of, one or more limbs at or above the elbow or knee.""</b>",FALSE,"Gwen travels in her SUV to the grocery store. She has a relatively simple drive to the store with no incident. When Gwen is at the store, she gets her items and begins to check out. However, when she is reentering her vehicle, a dodge ram hits her door and injures her hand. Gwen files a claim with her insurance company for the damages. However, the insurance company denies Gwen's claim, arguing that the damages are not covered.",female,yes during allowed window,traveling in,definition
Personal Accident,Personal Accident I,controversial,"Gwen's car insurance policy includes coverage for ""Personal Accident,"" defined as <b>""you or any other person in your car who is accidentally injured while traveling in your car, whilst in the United States and this injury alone results within three calendar months in loss of, or permanent and total loss of use of, one or more limbs at or above the elbow or knee.""</b>",FALSE,"Gwen travels in her SUV to the grocery store. She has a relatively simple drive to the store with no incident. When Gwen is at the store, she gets her items and begins to check out. However, when she exits the store, she spots a car deliberately crashing into parked cars on the adjacent street. As she is getting back into her car to attempt to drive off, the individual collides into Gwen's car, injuring her arm. Gwen files a police report who can attest to the claim. Gwen files a claim with her insurance company for the damages. However, the insurance company denies Gwen's claim, arguing that the damages are not covered.",female,maybe during allowed window,traveling in,definition
Storm Damage and Maintenance,Storm Damage and Maintenance II,unambiguous_uncovered,"Cam's home insurance policy includes coverage for ""Storm Damage,"" defined as <b>""damage caused by a storm.""</b>",FALSE,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his neighborhood's power plant, causing a power outage. Cam goes to his attic with a candle to reset the circuit breaker, but he drops the candle and starts a fire so large that almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage. However, the insurance company denies Cam's claim, arguing that the damage is not covered.",male,"cam definitely cause, not storm",cause,definition
Storm Damage,Storm Damage and Maintenance II,unambiguous_covered,"Cam's home insurance policy includes coverage for ""Storm Damage,"" defined as <b>""damage caused by a storm.""</b>",FALSE,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his roof, causing a fire. Almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage. However, the insurance company denies Cam's claim, arguing that the damage is not covered.",male,storm definitely cause,cause,definition
Storm Damage,Storm Damage and Maintenance II,controversial,"Cam's home insurance policy includes coverage for ""Storm Damage,"" defined as <b>""damage caused by a storm.""</b>",FALSE,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his street's power line, causing a power surge. The power surge causes the space heater in Cam's attic to catch fire, and almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage. However, the insurance company denies Cam's claim, arguing that the damage is not covered.",male,"power surge, maybe cause?",cause,definition
Hail Damage,Hail Damage,unambiguous_uncovered,"Rick's home insurance policy includes coverage for ""Hail Damage,"" defined as <b>""damage from hail of such intensity that it causes damage to hard surfaces or breaks glass.""</b>",FALSE,"One day, a hail storm hits Rick's house and causes damage to the plants on his balcony. Many plants lost leaves and some were completely covered in ice, causing them to die. Rick files a claim with his insurance company for the damage. However, the insurance company denies Rick's claim, arguing that the damage is not covered.",male,plants not hard surface,hard surface,definition
Hail Damage,Hail Damage,unambiguous_covered,"Rick's home insurance policy includes coverage for ""Hail Damage,"" defined as <b>""damage from hail of such intensity that it causes damage to hard surfaces or breaks glass.""</b>",FALSE,"One day, a hail storm hits Rick's house and causes damage to his roof's clay shingles. Many shingles were chipped and some even developed large cracks, causing the roof to leak. Rick files a claim with his insurance company for the damage. However, the insurance company denies Rick's claim, arguing that the damage is not covered.",male,clay shingle probably a hard surface,hard surface,definition
Hail Damage,Hail Damage,controversial,"Rick's home insurance policy includes coverage for ""Hail Damage,"" defined as <b>""damage from hail of such intensity that it causes damage to hard surfaces or breaks glass.""</b>",FALSE,"One day, a hail storm hits Rick's house and causes damage to his roof's wood shingles. Many shingles were chipped and some even developed small cracks, but the roof is not leaking. Rick files a claim with his insurance company for the damage. However, the insurance company denies Rick's claim, arguing that the damage is not covered.",male,wood shingle maybe not a hard surface?,hard surface,definition
