item,Title,version,header,avoid,continuation,name_gender,notes,locus_of_uncertainty,locus_of_uncertainty_location
Emergency Damage,Emergency Damage I,unambiguous_uncovered,"Joanne's home insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""</b>",FALSE,"Late one night, Joanne hears noises coming from another room in her home and believes it may be her two dogs playing together. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs,  and Joanne just wants help putting them to bed. Joanne files a claim with her insurance company for the damage caused by the forced entry. However, the insurance company denies Joanne's claim, arguing that the damage is not covered.",female ,dogs playing not emergency,perceived emergency,definition 
Emergency Damage,Emergency Damage I,unambiguous_covered,"Joanne's home insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""</b>",FALSE,"Late one night, Joanne hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry. However, the insurance company denies Joanne's claim, arguing that the damage is not covered.",female,burglar def emergency,perceived emergency,definition 
Emergency Damage,Emergency Damage I,controversial,"Joanne's home insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""</b>",FALSE,"Late one night, Joanne hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry. However, the insurance company denies Joanne's claim, arguing that the damage is not covered.",female ,"perceived emergency, but is perception justified?",perceived emergency,definition 
Emergency Damage,Emergency Damage II,unambiguous_uncovered,"Salma's insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""</b>",FALSE,"Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry. However, the insurance company denies Salma's claim, arguing that the damage is not covered.",female ,accountant not first responder,first responder,definition 
Emergency Damage,Emergency Damage II,unambiguous_covered,"Salma's insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""</b>",FALSE,"Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry. However, the insurance company denies Salma's claim, arguing that the damage is not covered.",female,police first responder,first responder,definition 
Emergency Damage,Emergency Damage II,controversial,"Salma's insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""</b>",FALSE,"Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry. However, the insurance company denies Salma's claim, arguing that the damage is not covered.",female,off duty firefighter maybe not first responder,first responder,definition 
Escape of Oil,Escape of Oil I,unambiguous_uncovered,"Madison has insurance that covers home damage from ""Escape of Oil"", defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>",FALSE,"As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage. However, the insurance company denies Madison's claim, arguing that the damage is not covered.",female,not a leak,leaking ,definition 
Escape of Oil,Escape of Oil I,unambiguous_covered,"Madison has insurance that covers home damage from ""Escape of Oil"", defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>",FALSE,"As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage. However, the insurance company denies Madison's claim, arguing that the damage is not covered.",female,yes a leak ,leaking ,definition 
Escape of Oil,Escape of Oil I,controversial,"Madison has insurance that covers home damage from ""Escape of Oil"", defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>",FALSE,"As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage. However, the insurance company denies Madison's claim, arguing that the damage is not covered.",female,had to cause damage to determine if it was a leak ,leaking ,definition 
Escape of Oil,Escape of Oil II,unambiguous_uncovered,"Mariam has insurance that covers home damage from ""Escape of Oil"", defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>",FALSE,"Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage. However, the insurance company denies Mariam's claim, arguing that the damage is not covered.",female,not a fixed heating installation,heating installation ,definition 
Escape of Oil,Escape of Oil II,unambiguous_covered,"Mariam has insurance that covers home damage from ""Escape of Oil"", defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>",FALSE,"Mariam has a fixed oil-fired heater in her living room. One night, the heater cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage. However, the insurance company denies Mariam's claim, arguing that the damage is not covered.",female,yes fixed heating installation damaged,heating installation ,definition 
Escape of Oil,Escape of Oil II,controversial,"Mariam has insurance that covers home damage from ""Escape of Oil"", defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>",FALSE,"Mariam has a wall-mounted oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage. However, the insurance company denies Mariam's claim, arguing that the damage is not covered.",female ,atypical fixed heating installation,heating installation ,definition 
Escape of Water,Escape of Water I,unambiguous_uncovered,"Carol's homeowner's insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>",FALSE,"Carol discovers that her bathroom wall has become severely damaged due to a pipe that slowly leaked over several days before Carol got around to calling a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall. However, the insurance company denies Carol's claim, arguing that the damage is not covered.",female,"not sudden or unforseen, caused by the protagonist, ",sudden/unforseen ,definition 
Escape of Water,Escape of Water I,unambiguous_covered,"Carol's homeowner's insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>",FALSE,"Carol discovers that her bathroom wall has become severely damaged due to a pipe that suddenly burst. Carol files a claim with her insurance company for the damage to her wall. However, the insurance company denies Carol's claim, arguing that the damage is not covered.",female,yes sudden/unforseen,sudden/unforseen ,definition 
Escape of Water,Escape of Water I,controversial,"Carol's homeowner's insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>",FALSE,"Carol discovers that her bathroom wall has become severely damaged due to a pipe that leaked for several hours before Carol managed to find a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall. However, the insurance company denies Carol's claim, arguing that the damage is not covered.",female,unclear if sudden or unforseen,sudden/unforseen ,definition 
