workerid,proliferate.condition,confidence,continuation,header,individual_judgment,item,population_judgment,slide_number_in_experiment,time,title,version,subject_information.affiliation,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,subject_information.legaltraining,subject_information.problems,subject_information.race,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
775,condition1,3,"Vance has a DJ business where he goes around town to work venues out of his van. His van has special audio equipment as it is Vance's only vehicle for his business. The van is relatively old and its warranty has expired for a few years. Vance receives a call one day for a DJ opportunity in a nearby town. On the way, he suffers a breakdown, likely from spark plugs that have worn down. When he calls his insurance to file a claim, they deny his request and inform him that mechanical breakdowns are not covered.","Vance has an insurance policy against loss or damage to his goods carrying vehicle defined as ""loss or damage to the vehicle, audio visual communication and guidance systems, replacement for key theft, and recovery and redelivery."" ",no,Loss or Damage to a Goods Carrying Vehicle ,90,3,59405,Goods Carrying Vehicle: Loss or Damage to Vehicle ,unambiguous_uncovered,6,66,Yes,,3,1,,English,0,none,White,Chrome,Windows,768,1024,3.780466666666667,
775,condition1,3,"Bart works at a small firm and gets paid biweekly. He does not have direct deposit, so he often collects a paper check from his employer. On a typical Thursday, Bart is paid for the work he has done. He is in need of a new golf club, so he purchases one after cashing his check at a bank. On the way home, we stopped at a fast food chain to grab a quick bite. When he returns to his car, he notices that the door is slightly ajar and his golf clubs are now missing. Bart decides to file a claim with his insurance company. However, they deny his claim after informing him that personal documents are uncovered.","Bart has an insurance policy that covers ""personal belongings"" for his ""Goods Carrying Vehicle"" policy. The policy covers ""In the event of an accident involving your vehicle, we will pay up to £250 in total for loss of or damage to personal belongings in, or on, your vehicle.""",no,Personal Belongings for a Goods Carrying Vehicle ,90,4,64955,Goods Carrying Vehicle: Personal Belongings II ,unambiguous_covered,6,66,Yes,,3,1,,English,0,none,White,Chrome,Windows,768,1024,3.780466666666667,
775,condition1,3," Genie enjoys maintaining her small garden in her front yard. She lives in a dry suburb that gets little rainfall. One Summer, however, the city council where she lives employs a water curtailment notice due to the drought. Genie can no longer water her prized plants. She decides to file a claim with her insurance, citing a political disturbance. However, when the insurer reviews her claim, they deny her coverage.","Genie has insurance that covers ""garden plants"" defined as ""damage to plants, bushes, shrubs and trees in the open within the boundaries of the land belonging to the home caused by: 1 fire, smoke, explosion, lightning or Earthquake 2 theft or attempted theft 3 malicious people or vandals 4 riot, civil commotion, strikes, labor and political disturbances.""",no,Garden Plants ,90,5,47102,Garden Plants I ,controversial,6,66,Yes,,3,1,,English,0,none,White,Chrome,Windows,768,1024,3.780466666666667,
776,condition1,3,"Trevor lives in a high risk area for wildfires. Trevor has this insurance policy for his home in the mountains surrounded by a large forest. Fires have been rare in the past, but a particularly dry season has increased the risk of a fire significantly. Remembering his insurance, Trevor figures that if a wildfire were to start in his backyard that ended up damaging his home, he would get a nice payout to remodel his house. He decides to start a small fire in the dry grass in his backyard, which does damage his house, but is thankfully contained by firefighters. He files an insurance claim, however, they refuse to compensate him for the damages.","Trevor has insurance that covers fire, explosion, earthquake, and smoke for his building. ",no,"Fire, Explosion, Earthquake, and Smoke ",90,3,36869,"Fire, Explosion, Earthquake, and Smoke ",unambiguous_uncovered,1,20,Yes,,2,2,Female,English,0,,White,Safari,Mac,900,1440,3.4092166666666666,
776,condition1,1,"Case has a brand new SUV with all the modern defenses against theft and break-in. Case is camping near a riverbank and parks his car near the shore. He has his camping equipment in the car and begins to collect wood to start a fire. However, a large swell turns the car on its side and breaks several windows, leaving Case's equipment to drift down the river. He decides to file an insurance claim for personal belongings to gain compensation to purchase new equipment. However, the insurance company denies his claim.","Case has an insurance policy that covers ""personal belongings"" for his ""Goods Carrying Vehicle"" policy. The policy covers ""In the event of an accident involving your vehicle, we will pay up to £250 in total for loss of or damage to personal belongings in, or on, your vehicle.""",yes,Personal Belongings for a Goods Carrying Vehicle ,65,4,64891,Goods Carrying Vehicle: Personal Belongings I ,controversial,1,20,Yes,,2,2,Female,English,0,,White,Safari,Mac,900,1440,3.4092166666666666,
776,condition1,1,"Blake has a rental property that is covered by this insurance policy. The neighborhood is relatively upscale and most of the homes hold high value due to its safety and proximity to shops and restaurants. However, Blake's home is the oldest property in the neighborhood, and he is in dire need of a renovation. To make matters worse, a property surveyor inspects Blake's home and informs him that the soil beneath the home is unstable. The home is sinking into the ground at a rate of 1 to 2 inches per year. However, the insurance company denies his request upon review, citing that he is liable for the damages.","Blake has building insurance against ""Substance or Ground Heave,"" defined as ""Loss or damage resulting from subsidence or ground heave of the site on which the building stands, or landslip."" ",yes,Substance or Ground Heave ,50,5,58191,Substance or Ground Heave I ,unambiguous_covered,1,20,Yes,,2,2,Female,English,0,,White,Safari,Mac,900,1440,3.4092166666666666,
773,condition1,2,"Olivia lives in a very quiet neighborhood at the edge of town. Her home is relatively modern and also kept in a good state. Olivia, however, is wanting to remodel the exterior of the home with a new coat of paint. She has interest in selling her home, and a facelift would increase the overall value of the property. One day, she decides to vandalize several exterior walls around her home in hopes of gaining a monetary payment from the insurance. She files a claim, however, they deny her compensation stating she is liable for this type of damage.  ","Olivia has insurance that covers ""Malicious Acts or Vandalism."" ",no,Malicious Acts or Vandalism ,80,3,48209,Malicious Acts or Vandalism I ,unambiguous_uncovered,1,38,Yes,,4,-1,Other,English,0,no,White,Chrome,Linux,768,1366,7.28425,
773,condition1,2,"Case has a brand new SUV with all the modern defenses against theft and break-in. Case is camping near a riverbank and parks his car near the shore. He has his camping equipment in the car and begins to collect wood to start a fire. However, a large swell turns the car on its side and breaks several windows, leaving Case's equipment to drift down the river. He decides to file an insurance claim for personal belongings to gain compensation to purchase new equipment. However, the insurance company denies his claim.","Case has an insurance policy that covers ""personal belongings"" for his ""Goods Carrying Vehicle"" policy. The policy covers ""In the event of an accident involving your vehicle, we will pay up to £250 in total for loss of or damage to personal belongings in, or on, your vehicle.""",yes,Personal Belongings for a Goods Carrying Vehicle ,65,4,53357,Goods Carrying Vehicle: Personal Belongings I ,controversial,1,38,Yes,,4,-1,Other,English,0,no,White,Chrome,Linux,768,1366,7.28425,
773,condition1,2,"Julian is commuting to a movie set. He is driving along a residential road just below the speed limit. Suddenly, a cat darts in front of Julian's vehicle. Julian, trying to save the cat, swerves his vehicle into a fence. The fence is destroyed and no one is hurt. However, Julian is nonetheless at fault. When he files a claim, the insurance denies his claim, claiming that he is uncovered in this scenario.","Julian has car insurance that covers ""Legal Liability"" to others, defined as the following: ""Death or injury to any person. Damage to any other person's property up to £20,000,000 plus all legal costs and expenses provided the total does not exceed £25,000,000 for any one claim or series of claims arising out of one cause whilst using the vehicle.""",yes,Legal Liability ,90,5,162870,Legal Liability ,unambiguous_covered,1,38,Yes,,4,-1,Other,English,0,no,White,Chrome,Linux,768,1366,7.28425,
765,condition1,3,"Gene goes to work one day and parks his car in a garage nearby. When he returns to the garage for lunch, Gene finds that he accidentally left a cigarette butt in the ashtray in his car, which has smoldered and caused significant smoke damage. Understanding that he is covered for fire damage, Gene files a claim with his insurance to avoid paying out of pocket for a replacement. However, the insurance company refutes this and denies his claim.","Gene's car insurance policy includes coverage for ""Vehicle Fire and Theft,"" defined as ""for loss or damage as a result of theft, attempted theft, fire, lightning or explosion to the policy holder's car, Accessories, including children's car seats, while in or on your car, and Audio equipment while in your car."" ",yes,Vehicle Fire and Theft ,80,3,198198,Vehicle Fire and Theft II,unambiguous_uncovered,2,37,No,Thank you for having me!,4,2,Female,English,0,None.,White,Chrome,Windows,800,1280,7.70845,
