workerid,proliferate.condition,confidence,continuation,header,individual_judgment,item,population_judgment,slide_number_in_experiment,time,title,version,subject_information.affiliation,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,subject_information.legaltraining,subject_information.problems,subject_information.race,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
2260,condition1,1,"Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day,  she sees that an exterior wall of her house is covered in graffiti. She reviews her home surveillance footage and sees that her estranged young adult son spraypainted the wall. She hires professional painters to paint over the graffiti. Beth files a claim with her insurance company for the damages. ","Beth has home insurance that covers losses from ""Malicious Acts or Vandalism,"" defined as <b>""costs associated with repairing deliberate damage to the policyholder's property made by an adverse third party.""</b>",yes,Malicious Acts or Vandalism,55,3,43878,Malicious Acts or Vandalism II,controversial,4,59,Yes,,3,1,Female,English,0,none,White,Chrome,Windows,1080,1920,2.6930833333333335,
2260,condition1,2,"One day, Gwen drives her SUV to the grocery store. After buying groceries, she injures her wrist when she lifts a heavy grocery bag into her car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages. ","Gwen's car insurance policy includes coverage for damages stemming from ""Personal Accident,"" defined as <b>""accidental injury while traveling in your car.""</b>",no,Personal Accident,90,4,44330,Personal Accident I,unambiguous_uncovered,4,59,Yes,,3,1,Female,English,0,none,White,Chrome,Windows,1080,1920,2.6930833333333335,
2260,condition1,1,"Charlotte lives alone in a one-story home. One day, a car hits a fire hydrant outside her home, causing a large volume of water to suddenly seep into her home. This causes significant water damage to her basement. Charlotte files a claim with her insurance company for the damage.","Charlotte has insurance that covers damage from ""Flooding"" to her home, defined as <b>""an invasion of the property by a large volume of water caused by a sudden release from outside the buildings.""</b>",yes,Flooding,88,5,25496,Flood I,unambiguous_covered,4,59,Yes,,3,1,Female,English,0,none,White,Chrome,Windows,1080,1920,2.6930833333333335,
1628,condition1,2,"Fatema keeps a gas-powered grill next to her garage. One day, she uses the grill and leaves it briefly unattended. While she's away, burning embers from a nearby quick-moving brush fire make contact with the grill and cause its propane tank to explode, which in turn causes her garage to go up in flames. Fatema files a claim with her insurance company for the damage to the garage.","Fatema's home insurance covers ""Fire"" damage, defined as <b>""damage to the policyholder's property caused by naturally-occurring fire.""</b> ",no,Fire,45,3,44210,Fire,controversial,6,46,Yes,,3,1,Female,English,0,no,White,Chrome,Linux,768,1366,2.2556333333333334,
1628,condition1,3,"John takes generally good care of his car, but one day he is involved in a minor accident which damages his front left wheel. He brings the car to a mechanic to have the wheel replaced. John files a claim with his insurance company for the damage. ","John's car insurance policy includes coverage for ""Vehicle Damage,"" which excludes <b>""loss or damage caused by wear and tear.""</b>",no,Vehicle Damage,75,4,23122,Vehicle Damage II,unambiguous_covered,6,46,Yes,,3,1,Female,English,0,no,White,Chrome,Linux,768,1366,2.2556333333333334,
1628,condition1,0,"Jack is a successful business consultant. One day, while Jack is at home, hackers manage to infiltrate the computer network at Jack's office. The hackers steal Jack's credit card information and make a number of fraudulent purchases in his name. To resolve the fraud, Jack must spend thousands of dollars in legal fees. Jack files a claim with his insurance company for his losses. ","Jack has insurance coverage against loss and damage from ""Identity Theft,"" which excludes <b>""identity theft connected with the policyholder's occupation.""</b>",yes,Identity Theft,25,5,21182,Identity Theft II,unambiguous_uncovered,6,46,Yes,,3,1,Female,English,0,no,White,Chrome,Linux,768,1366,2.2556333333333334,
1855,condition1,2,"Martha is installing hardwood flooring in her living room. She uses a heat gun -- a device that emits very hot air -- to help dry the glue that attaches the floorboards. While arranging her floorboards, she sets her heat gun down on her expensive dining room table, which causes the surface of the table to burn but not catch fire. Martha files a claim with her insurance company for the damage.","Martha has an insurance policy that covers accidental damage to her home and belongings from ""Hot Work,"" defined as <b>""any work that requires, uses or produces any sources of heat that could ignite flammable materials.""</b> ",yes,Hot Work,75,3,30814,Hot Work II,controversial,0,43,Yes,,3,1,Female,english,0,no,Latino,Chrome,Windows,864,1536,8.360466666666667,
1855,condition1,1,"Denise is moving to a new home on the other side of town. She pays a professional moving company to move her belongings out of her current home. During the move, the moving truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.  ","Denise's insurance covers damage from ""House Removal,"" defined as <b>""damage to belongings caused while being removed by professional removal contractors from the home.""</b>",yes,House Removal,80,4,11349,House Removal I,unambiguous_covered,0,43,Yes,,3,1,Female,english,0,no,Latino,Chrome,Windows,864,1536,8.360466666666667,
1855,condition1,1,"One day, Ken parks his car next to his home and leaves a smoldering cigarette butt in his car ashtray. The cigarette butt does not catch fire, but it causes significant smoke damage to the car's interior. Ken files a claim with his insurance company for the damage.","Ken's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>""loss or damage to the policy holder's car as a result of fire, lightning or explosion.""</b>",yes,Vehicle Fire,60,5,15119,Vehicle Fire III,unambiguous_uncovered,0,43,Yes,,3,1,Female,english,0,no,Latino,Chrome,Windows,864,1536,8.360466666666667,
2277,condition1,4,Carol's bathroom wall has become severely damaged due to a pipe that leaked for several hours before Carol managed to find a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>",yes,Escape of Water,100,3,87259,Escape of Water I,controversial,4,35,Yes,,3,2,Male,English,0,,White,Chrome,Windows,1080,1920,4.669966666666666,
2277,condition1,4,"One day, Steve is involved in a minor accident. His favorite guitar, which was in the car at the time, was damaged. Steve files a claim with his insurance company for the damage. ","Steve's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) car accessories (while in or on the car)."" </b> ",no,Vehicle Damage,100,4,23508,Vehicle Damage III,unambiguous_uncovered,4,35,Yes,,3,2,Male,English,0,,White,Chrome,Windows,1080,1920,4.669966666666666,
2277,condition1,4,"Denise is moving to a new home on the other side of town. She pays a professional moving company to move her belongings out of her current home. During the move, the moving truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.  ","Denise's insurance covers damage from ""House Removal,"" defined as <b>""damage to belongings caused while being removed by professional removal contractors from the home.""</b>",yes,House Removal,100,5,57879,House Removal I,unambiguous_covered,4,35,Yes,,3,2,Male,English,0,,White,Chrome,Windows,1080,1920,4.669966666666666,
1286,condition1,3,"As part of his bakery business, Peter owns a van which he uses to make local deliveries. One day, Peter is mugged by an individual who takes the key to the van. Replacing the key costs Peter hundreds of dollars. Peter files a claim with his insurance company for his losses.","Peter has insurance that covers ""Loss or Damage to a Goods Carrying Vehicle,"" which includes <b>""key replacement in the case of theft.""</b>",yes,Loss or Damage to a Goods Carrying Vehicle,90,3,45733,Goods Carrying Vehicle: Loss or Damage to Vehicle,unambiguous_covered,-1,43,Yes,,3,1,Male,English,0,no,Asian,Chrome,Windows,1027,1920,2.208283333333333,
1286,condition1,4,"Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.","Joanne's home insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""</b>",yes,Emergency Damages,99,4,31460,Emergency Damages I,controversial,-1,43,Yes,,3,1,Male,English,0,no,Asian,Chrome,Windows,1027,1920,2.208283333333333,
