item,version,header,continuation
Escape of Water,unambiguous_uncovered,"Carol’s homeowner’s insurance policy includes coverage for escape of water damage, defined as “damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe, boiler or faulty appliance.” ","Carol leaves her apartment for twenty minutes to walk her dog, and when she returns, she finds that she accidentally left the sink running while she was out. There is considerable damage. When she calls her insurer, however, the insurer disputes Carol’s claim, claiming that the damage Carol experienced does not constitute escape of water."
Escape of Water,unambigous_covered,"Carol’s homeowner’s insurance policy includes coverage for escape of water damage, defined as “damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe, boiler or faulty appliance.” ","Carol leaves her apartment for twenty minutes to walk her dog, and when she returns, she finds that a pipe above her kitchen has burst, rapidly releasing water onto the kitchen floor. There is considerable damage; the water has even seeped into the basement below the kitchen. When she calls her insurer, however, the insurer disputes Carol’s claim, claiming that the damage Carol experienced does not constitute escape of water."
Escape of Water ,controversial,"Carol’s homeowner’s insurance policy includes coverage for escape of water damage, defined as “damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe, boiler or faulty appliance.” ","Carol leaves her apartment for twenty minutes to walk her dog, and when she returns, she finds that a leaky pipe underneath her kitchen faucet has been slowly releasing water onto the kitchen floor.There is considerable damage; the water has even seeped into the basement below the kitchen. When she calls her insurer, however, the insurer disputes Carol’s claim, claiming that the damage Carol experienced does not constitute escape of wa"
Vehicle Glass,unambiguous_uncovered,"Ahmad’s car insurance policy includes coverage for window or windscreen damage, defined as “damage to the policyholder's car window or windscreens.” ","Ahmad plays a round of golf and hits a ball 250 yards into an area with homes and vehicles. As he hits his second shot down the fairway, he returns to find his original ball and a subsequent angry Camaro owner. The Camaro’s windscreen is shattered. As an honorable citizen, Ahmad claims responsibility and offers to cover the damages. Not wanting to pay out of pocket, Ahmad remembers he has vehicle glass insurance. When he calls his insurer, however, the insurer disputes his claim, claiming that the damage Ahmad experienced is uncovered."
Vehicle Glass,unambigous_covered,"Ahmad’s car insurance policy includes coverage for window or windscreen damage, defined as “damage to the policyholder's car window or windscreens.” ","Ahmad plays a round of golf and hits a ball 250 yards into an area with homes and vehicles. As he hits his second shot down the fairway, he returns to find his original ball. He continues his round of golf and eventually makes his way back to his car in the parking lot. Just as he is about to drive away, a stray ball from the driving range shatters his car’s windshield. Luckily, his dashboard cam caught the incident, clearly demonstrating the golf ball came from the driving range. Ahmad remembers he has vehicle glass insurance. When he calls his insurer, however, the insurer disputes his claim, claiming that the damage Ahmad experienced is uncovered."
Vehicle Glass ,controversial,"Ahmad’s car insurance policy includes coverage for window or windscreen damage, defined as “damage to the policyholder's car window or windscreens.” ","Ahmad plays a round of golf and hits a ball 250 yards into an area with homes and vehicles. As he hits his second shot down the fairway, he returns to find his original ball. Suddenly, he hears the distant sound of a tee shot and a loud crash. A stray golf ball has just impacted Ahmad’s car’s windshield. He notices that the damage has not shattered the windshield, but chipped. Ahmad believes he does not necessarily need a full replacement, but at least some patchwork to prevent cracks in the windshield from spreading. Ahmad remembers he has vehicle glass insurance. When he calls his insurer, however, the insurer disputes his claim, claiming that the damage Ahmad experienced is uncovered."
Storm Damage and Maintenance,unambiguous_uncovered,"Tom’s home insurance policy includes coverage for storm damage and maintenance damage, defined as “damage caused by a storm.” A storm is defined with: hail of such intensity that it causes damage to hard surfaces or breaks glass, Torrential rainfall at a rate of at least 25mm per hour, snow to a depth of at least 12 inches (30cms) in 24 hours, wind speeds with gusts of at least 48 knots (55 mph).","Tom’s home is in optimal condition. It's relatively new and he recently had a home inspection to confirm the conditions mentioned in his policy are met. One day, rainfall and wind gusts up to 40 mph cause damage to Tom’s home. There is no hail, but several windows and hard surfaces are damaged, likely from projectiles picked up by the wind. Not wanting to pay out of pocket, Tom remembers his insurance policy. When he calls his insurer, however, the insurer disputes his claim, claiming that the damage Tom experienced is uncovered."
Storm Damage and Maintenance,unambigous_covered,"Tom’s home insurance policy includes coverage for storm damage and maintenance damage, defined as “damage caused by a storm.” A storm is defined with: hail of such intensity that it causes damage to hard surfaces or breaks glass, Torrential rainfall at a rate of at least 25mm per hour, snow to a depth of at least 12 inches (30cms) in 24 hours, wind speeds with gusts of at least 48 knots (55 mph).","Tom’s home is in optimal condition. It’s relatively new and he recently had a home inspection to confirm the conditions mentioned in his policy are met. One day, a storm with hail the size of golf balls occurs in his area, causing widespread wreckage to his home.  Several windows and hard surfaces are damaged, likely from projectiles picked up by the wind and the hail. Not wanting to pay out of pocket, Tom remembers his insurance policy. When he calls his insurer, however, the insurer disputes his claim, claiming that the damage Tom experienced is uncovered."
Storm Damage and Maintenance,controversial,"Tom’s home insurance policy includes coverage for storm damage and maintenance damage, defined as “damage caused by a storm.” A storm is defined with: hail of such intensity that it causes damage to hard surfaces or breaks glass, Torrential rainfall at a rate of at least 25mm per hour, snow to a depth of at least 12 inches (30cms) in 24 hours, wind speeds with gusts of at least 48 knots (55 mph).","Tom’s home is in optimal condition. It’s relatively new and he recently had a home inspection to confirm the conditions mentioned in his policy are met. One day, a serious hail storm (hail the size of golf balls) occurs in his area. Tom’s home is largely unaffected by the hail itself. However, a trampoline suddenly crashes through Tom’s roof. Tom believes the storm created strong winds to cast the trampoline aloft and through his roof. Not wanting to pay out of pocket, Tom remembers his insurance policy. When he calls his insurer, however, the insurer disputes his claim, claiming that the damage Tom experienced is uncovered."
Vehicle Damage ,unambiguous_uncovered,"Jenny’s car insurance policy includes coverage for damage, defined as “for loss or damage to the policy holder’s car, Accessories, including children’s car seats, while in or on your car, and Audio equipment while in your car.” ","Jenny is traveling to work in her newly registered Dodge Charger. She starts out from her home and begins her commute on a relatively calm morning with good weather. She refuels at a gas station near her work. As she looks down at her watch, she notices she is dangerously close to being late. She hurriedly fuels her car, grabs the receipt, and drives off. As she’s getting onto the motorway, she hears several clunking noises coming from her car, followed by the check engine light turning on and several warning messages plastering the instrument cluster. The car then refuses to start. Jenny isn’t sure what’s going on until she glances down at her fuel receipt, and realizes she has put diesel into her Dodge Charger. Not wanting to pay out of pocket, Jenny remembers she has insurance for damages to her car. When she calls his insurer, however, the insurer disputes her claim, claiming that the damage she experienced is uncovered."
Vehicle Damage,unambigous_covered,"Jenny’s car insurance policy includes coverage for damage, defined as “for loss or damage to the policy holder’s car, Accessories, including children’s car seats, while in or on your car, and Audio equipment while in your car.” "," Jenny is traveling to work in her newly registered Dodge Charger. She starts out from her home and begins her commute on a relatively calm morning with good weather. She follows a semi on the way to work and unfortunately encounters debris coming from a blown tire of the semi. Her front bumper has extensive damage and needs to be repaired. Not wanting to pay out of pocket, Jenny remembers she has insurance for damages to her car. When she calls his insurer, however, the insurer disputes her claim, claiming that the damage she experienced is uncovered."
Vehicle Damage,controversial,"Jenny’s car insurance policy includes coverage for damage, defined as “for loss or damage to the policy holder’s car, Accessories, including children’s car seats, while in or on your car, and Audio equipment while in your car.” ","Jenny is traveling to work in her newly registered Dodge Charger. She starts out from her home and begins her commute on a relatively calm morning with good weather. She follows a semi on the way to work and unfortunately encounters debris coming from the rear of the semi. She slams the breaks to avoid the debris, which is also caught on her dashcam. When breaking, her tires suffer severe damage. Not wanting to pay out of pocket, Jenny remembers she has insurance for damages to her car. When she calls his insurer, however, the insurer disputes her claim, claiming that the damage she experienced is uncovered."
